title_version,model_year,mileage,engine,transmission,fuel,price,inspection_score,description,data_source
Honda Accord CL9 2003,2003,165180.0,2400.0,Automatic,Petrol,2500000.0,6.3,- Android Panel - Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2003 - Registered 2006 - 1 key available,gold_verified
Honda City 1.3 i-VTEC Prosmatec 2013,2013,117794.0,1300.0,Automatic,Petrol,3000000.0,8.4,- Android Panel - Sun Protection Sheets - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax not Cleared - 2nd Owner - Manufacture 2013 - Registered 2013 - 2 keys available,gold_verified
Honda Civic RS 2023,2023,32001.0,1500.0,Automatic,Petrol,9050000.0,9.9,more details contact,gold_verified
Honda Civic VTi 1.8 i-VTEC 2015,2015,97040.0,1800.0,Manual,Petrol,3550000.0,8.9,Honda Civic Manual December 2015 Model • Invoice date 29 Dec 2015 • Islamabad Registered • Low mileage 97k • 2nd Owner • Total genuine except 1 fender • Original Smart Card • 2 Keys • Token tax paid • Stepney available • Fuel average • In city 13-14 km • On highway 15-16 km • Driven on HiOctane+Super • Regular Oil Changed after 5000 km • Very well maintained • Slight hailstorm spots (very less) • Used as a second car You would barely find a car in this immaculate condition Contact on phone/whatsapp Price negotiable on spot only,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,100510.0,1800.0,Automatic,Petrol,5300000.0,6.4,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates not available - Token tax Cleared - 1st Owner - Manufacture 2020 - Registered 2020 - 2 keys available,gold_verified
Honda City 1.3 i-VTEC 2011,2011,120244.0,1300.0,Manual,Petrol,2700000.0,6.9,LED Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2011 Registered 2011 1 key available,gold_verified
Honda BR-V i-VTEC S 2022,2022,33125.0,1500.0,Automatic,Petrol,5500000.0,9.4,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2022 Registered 2022 2 keys available,gold_verified
Honda Vezel Hybrid Z 2015,2015,88735.0,1500.0,Automatic,Hybrid,4750000.0,5.2,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2015 Registered 2022 1 key available,gold_verified
Honda City 1.3 i-VTEC Prosmatec 2017,2017,135927.0,1300.0,Automatic,Petrol,3250000.0,7.1,Android multimedia screen installed Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax paid Manufacture 2017 Registered 2017 2 key available,gold_verified
Honda Civic VTi Prosmatec 1.8 i-VTEC 2012,2012,222878.0,1800.0,Automatic,Petrol,3000000.0,7.2,Documents available Hard Top without sunroof PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2012 Registered 2013 1 key available Android panel,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,53325.0,1800.0,Automatic,Petrol,4995000.0,9.1,*Honda 1.8 Civic Oriel A/T UG* Navigation+ leather Model & Register 2018 1st Owner New Red Meter AC & Suspension 100% Bumper to Bumper Originals Inner & Outer all Original Sealed Engine Spare Wheel unused Brand New tyres install. PRICE IS FIRM & FINAL,gold_verified
Honda Civic VTi 1.6 2002,2002,372707.0,1600.0,Manual,Petrol,1400000.0,5.2,Army Officer driven PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2002 Registered 2002 Documents available 2 keys available,gold_verified
Honda Civic 1.8 i-VTEC CVT 2017,2017,47862.0,1800.0,Automatic,Petrol,4400000.0,7.9,Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,gold_verified
Honda Vezel Hybrid RS Honda Sensing 2019,2019,132337.0,1500.0,Automatic,Hybrid,7500000.0,9.4,- PakWheels inspected car - Inspection report attached - Number plates not issued - 1st Owner - Token Tax Paid - Manufacture 2019 - Registered 2025 -Documents not check by pakwheels.com - 2 keys available,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,86073.0,1800.0,Automatic,Petrol,5875000.0,8.9,Price is fixed agar samjh aye tou call kerey Civic UG Leather seats Sunroof Total Geneuin (one right back fender showered) Tires in great conditon,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,82059.0,1800.0,Automatic,Petrol,5400000.0,8.3,- Ambient Lights - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,gold_verified
Honda Vezel Hybrid Z Honda Sensing 2019,2019,117045.0,1500.0,Automatic,Hybrid,6900000.0,9.5,PakWheels inspected car Inspection report attached Number plates not issue yet 1st Owner Token Tax Paid Manufacture 2019 Registered 2024 Documents available 1 key available,gold_verified
Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,2013,173516.0,1800.0,Automatic,Petrol,3100000.0,8.0,- LED lights installed - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2013 - Registered 2013 - 2 keys available,gold_verified
Honda N One Premium Tourer 2022,2022,26266.0,658.0,Automatic,Petrol,3700000.0,6.8,- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2022 - Registered 2024 - 1 key available,gold_verified
Honda Civic VTi Prosmatec 1.8 i-VTEC 2009,2009,371352.0,1800.0,Automatic,Petrol,2050000.0,4.2,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2009 Registered 2009 2 keys available Android panel Back camera,gold_verified
Honda BR-V i-VTEC S 2022,2022,77724.0,1500.0,Automatic,Petrol,5100000.0,9.3,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2022 Registered 2022 2 keys available Honda maintained,gold_verified
Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,2013,94245.0,1800.0,Automatic,Petrol,3200000.0,7.0,Current owner's registration card not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2013 Registered 2013 2 keys available Body kits installed,gold_verified
Honda City 1.3 i-VTEC 2014,2014,83660.0,1300.0,Manual,Petrol,3115000.0,6.8,Android Panel Seat Covers Engine Heat Protection Sheet Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2014 Registered 2016 1 key available,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2021,2021,47513.0,1800.0,Automatic,Petrol,6475000.0,8.6,First Owner 100 % Original Body Paint Minor Dry Denting Maintained From Honda Dealership Engine/Suspension 10/10 Brand New Yokohama Tyres No Scratches No Dents Interior Just Like Brand New Spare Tyre Never Used Price Is Final,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2021,2021,112659.0,1800.0,Automatic,Petrol,6050000.0,8.0,- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2021 - Registered 2021 - 1 key available,gold_verified
Honda Civic Turbo 1.5 VTEC CVT 2017,2017,110383.0,1500.0,Automatic,Petrol,5100000.0,7.9,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2021,2021,81905.0,1800.0,Automatic,Petrol,6250000.0,8.0,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2021 - Registered 2022 - 1 key available,gold_verified
Honda Accord CL9 2003,2003,165180.0,2400.0,Automatic,Petrol,2500000.0,6.3,- Android Panel - Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2003 - Registered 2006 - 1 key available,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2017,2017,60043.0,1800.0,Automatic,Petrol,4795000.0,8.5,"Honda Civic 2017 – Super White • Army Officer Used • 100% Genuine / No Paint 🤍 Model: 2017 Colour: Super White Mileage: 60,000 KM (Genuine) Condition: 100% Genuine – NO PAINT, Not a single touch-up Ownership: Army Officer Used – First Owner Sunroof: Yes Interior: Black + Beige (Neat & Clean – Just like brand new) Engine / Suspension: 100% OK Tyres: 80% Token Tax: Up to date Smart Card Available Karachi Registered Car is totally genuine —",gold_verified
Honda Fit 2020,2020,36477.0,1500.0,Automatic,Hybrid,6300000.0,9.4,Honda Fit 1.5 Hybrid e-HEV PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2020 Registered 2024 Documents available 2 keys available,gold_verified
Toyota Corolla Axio X 1.3 2014,2014,114665.0,1300.0,Automatic,Petrol,4200000.0,7.5,- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2014 - Registered 2017 - 1 key available,gold_verified
Toyota Corolla Altis Grande CVT-i 1.8 2015,2015,79150.0,1800.0,Automatic,Petrol,4250000.0,7.7,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2015 - Registered 2015 - 1 key available,gold_verified
Toyota Pixis Epoch X 2023,2023,3932.0,660.0,Automatic,Petrol,3650000.0,8.7,Documents not check by pakwheels PakWheels inspected car Inspection report attached Manufacture 2023 Unregistered 1 key available,gold_verified
Toyota Vitz F 1.0 2014,2014,80396.0,1000.0,Automatic,Petrol,3300000.0,7.3,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2014 Import 2017 Registered 2017 1 key available,gold_verified
Honda Civic VTi Prosmatec 1.6 2005,2005,180058.0,1600.0,Automatic,Petrol,1800000.0,6.3,- Android Panel - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates not available - Token tax Cleared - 4th Owner - Manufacture 2005 - Registered 2005 - 1 key available,gold_verified
Honda City 1.5 i-VTEC Prosmatec 2018,2018,230224.0,1500.0,Automatic,Petrol,3600000.0,7.7,- Sales certificate have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2018 - Registered 2018 - 2 keys available,gold_verified
Honda Vezel Hybrid Z Honda Sensing 2019,2019,132055.0,1500.0,Automatic,Hybrid,7550000.0,9.2,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2019 - Import 2024 - Registered 2024 - 2 keys available,gold_verified
Honda Vezel Hybrid Z 2015,2015,145225.0,1500.0,Automatic,Hybrid,4400000.0,8.1,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax will be Paid Manufacture 2015 Import 2015 Registered 2015 1 key available,gold_verified
Honda City 1.3 i-VTEC Prosmatec 2019,2019,95043.0,1300.0,Automatic,Petrol,3700000.0,8.2,- Back Camera - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2019 - Registered 2019 - 1 key available,gold_verified
Honda City 1.3 i-VTEC 2017,2017,77982.0,1300.0,Manual,Petrol,3550000.0,9.1,Single hand driven Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 1 key available,gold_verified
Honda Vezel Hybrid Z Honda Sensing 2017,2017,170632.0,1500.0,Automatic,Hybrid,5800000.0,8.5,- Current owner and previous owner smart card have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2017 - Import 2017 - Registered 2017 - 1 key available,gold_verified
Honda City Aspire Prosmatec 1.5 i-VTEC 2018,2018,165292.0,1500.0,Automatic,Petrol,3750000.0,7.8,- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2017 - Registered 2017 - 2 keys available,gold_verified
Honda BR-V i-VTEC MT 2019,2019,79954.0,1500.0,Manual,Petrol,4000000.0,7.7,-seat cover installed - PakWheels inspected car - Inspection report attached - Number plates available - 2nd Owner - Token Tax Paid - Manufacture 2019 - Registered 2019 -Documents not check by pakwheels.com - 2 keys available,gold_verified
Honda City i-DSI Vario 2005,2005,144420.0,1300.0,Automatic,Petrol,2050000.0,5.5,- Android Panel - Speakers - Back Camera - Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 5th Owner - Manufacture 2005 - Registered 2005 - 3 keys available,gold_verified
Honda Accord 2008,2008,104257.0,2400.0,Automatic,Petrol,4000000.0,6.0,"Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax will be Paid Manufacture 2008 Import 2008 Registered 2008 1 key available AIR SUSPENSION Engine changed, not updated in documents",gold_verified
Honda BR-V i-VTEC MT 2019,2019,202181.0,1500.0,Manual,Petrol,3550000.0,6.6,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2019 Registered 2019 2 keys available,gold_verified
Honda City 1.3 i-VTEC Prosmatec 2019,2019,146818.0,1300.0,Automatic,Petrol,3800000.0,6.7,PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2019 Registered 2019 Documents available 2 keys available Android panel,gold_verified
Honda City 1.3 i-VTEC Prosmatec 2015,2015,135564.0,1300.0,Automatic,Petrol,3135000.0,7.9,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax notCleared - 2nd Owner - Manufacture 2015 - Registered 2015 - 2 keys available,gold_verified
Honda City Aspire Prosmatec 1.3 i-VTEC 2016,2016,155013.0,1300.0,Automatic,Petrol,3600000.0,7.0,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2016 - Registered 2016 - 1 key available,gold_verified
Honda City 1.5L CVT 2022,2022,60578.0,1500.0,Automatic,Petrol,4800000.0,8.5,-seat cover installed -sound system installed - PakWheels inspected car - Inspection report attached - Maintained by Honda - Number plates available - 1st Owner - Token Tax Paid - Manufacture 2022 - Registered 2022 -Documents available - 2 keys available,gold_verified
Honda City 1.3 i-VTEC Prosmatec 2011,2011,167746.0,1300.0,Automatic,Petrol,3100000.0,4.9,- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2011 - Registered 2011 - 3 keys available,gold_verified
Honda Civic Turbo 1.5 VTEC CVT 2016,2016,143041.0,1500.0,Automatic,Petrol,5000000.0,7.3,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2016 - Registered 2016 - 2 keys available,gold_verified
Honda City EXi S Automatic 2002,2002,181667.0,1500.0,Automatic,Petrol,1550000.0,4.6,- PakWheels inspected car - Inspection report attached - Number plates available - 3rd Owner - Token Tax Paid - Manufacture 2002 - Registered 2002 -Documents not check by pakwheels.com - 2 keys available,gold_verified
Honda City Aspire 1.3 i-VTEC 2016,2016,88133.0,1300.0,Manual,Petrol,3429999.9999999995,8.3,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2016 - Registered 2016 - 2 keys available,gold_verified
Honda City 1.2L CVT 2021,2021,78966.0,1200.0,Automatic,Petrol,4400000.0,8.4,- Rear Speakers - Back Camera - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2021 - Registered 2022 - 2 keys available,gold_verified
Honda City 1.5L CVT 2021,2021,30441.0,1500.0,Automatic,Petrol,4850000.0,8.4,100% maintained by dealership. Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2021 Registered 2022 2 key s available,gold_verified
Honda Civic RS 2022,2022,79050.0,1500.0,Automatic,Petrol,8000000.0,7.2,- NOC have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2022 - Registered 2022 - 3 Remotes available,gold_verified
Honda N Wgn G 2023,2023,23412.0,660.0,Automatic,Petrol,3600000.0,8.5,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Manufacture 2023 - Import 2025 - Unregistered - 1 key available,gold_verified
Honda HR-V VTi-S 2024,2024,97851.0,1500.0,Automatic,Petrol,6650000.0,9.2,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2024 Registered 2024 2 keys available The company NOC will be issue at time of deal,gold_verified
Honda City 1.3 i-VTEC 2011,2011,120244.0,1300.0,Manual,Petrol,2700000.0,6.9,LED Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2011 Registered 2011 1 key available,gold_verified
Honda BR-V i-VTEC S 2022,2022,33125.0,1500.0,Automatic,Petrol,5500000.0,9.4,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2022 Registered 2022 2 keys available,gold_verified
Honda Civic VTi Prosmatec 1.8 i-VTEC 2012,2012,222878.0,1800.0,Automatic,Petrol,3000000.0,7.2,Documents available Hard Top without sunroof PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2012 Registered 2013 1 key available Android panel,gold_verified
Honda Vezel Hybrid Z 2015,2015,145225.0,1500.0,Automatic,Hybrid,4400000.0,8.1,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax will be Paid Manufacture 2015 Import 2015 Registered 2015 1 key available,gold_verified
Honda Civic VTi 1.6 2002,2002,372707.0,1600.0,Manual,Petrol,1400000.0,5.2,Army Officer driven PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2002 Registered 2002 Documents available 2 keys available,gold_verified
Honda City 1.3 i-VTEC Prosmatec 2019,2019,95043.0,1300.0,Automatic,Petrol,3700000.0,8.2,- Back Camera - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2019 - Registered 2019 - 1 key available,gold_verified
Honda City i-DSI 2007,2007,202763.0,1300.0,Manual,Petrol,1800000.0,5.6,-FILE MISSING - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2007 - Registered 2007 - 2 keys available,gold_verified
Honda Civic 1.8 i-VTEC CVT 2017,2017,47862.0,1800.0,Automatic,Petrol,4400000.0,7.9,Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,gold_verified
Honda BR-V i-VTEC S 2018,2018,46170.0,1500.0,Automatic,Petrol,4700000.0,9.1,PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2018 Registered 2018 Documents available 2 keys available,gold_verified
Honda Vezel Hybrid Z Style Edition 2015,2015,82442.0,1500.0,Automatic,Hybrid,5100000.0,8.7,"Honda Vezel hybrid Model 2015 top of the Z pkg S grade verified auction sheet available it's a totally eye-catching colour recently new tyres installed total genuine just half trunk shower due to scratches everything is perfect Allhamdullah fuel average around 20/km If call doesn’t connect, feel free to contact me on WhatsApp",gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,86073.0,1800.0,Automatic,Petrol,5875000.0,8.9,Price is fixed agar samjh aye tou call kerey Civic UG Leather seats Sunroof Total Geneuin (one right back fender showered) Tires in great conditon,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,82059.0,1800.0,Automatic,Petrol,5400000.0,8.3,- Ambient Lights - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,gold_verified
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2016,2016,135936.0,1800.0,Automatic,Petrol,5000000.0,8.6,Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2016 Registered 2016 1 key available,gold_verified
Honda City i-DSI 2007,2007,182909.0,1300.0,Manual,Petrol,1850000.0,3.7,Registration Book Duplicate Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates Duplicate 3rd Owner Token Tax Paid Manufacture 2007 Registered 2007 2 keys available Sound system,gold_verified
Honda Civic Oriel 1.8 i-VTEC CVT 2019,2019,150066.0,1800.0,Automatic,Petrol,5400000.0,8.2,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates not available 2nd Owner Token Tax Paid Manufacture 2019 Registered 2019 2 key available,gold_verified
Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,2013,173516.0,1800.0,Automatic,Petrol,3100000.0,8.0,- LED lights installed - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2013 - Registered 2013 - 2 keys available,gold_verified
